capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds
L1,D1,0,0.458041958041958,0.28125,1.49
L1,D1,1,0.458041958041958,0.328125,0.16
L1,D1,2,0.16783216783216784,0.296875,0.15
L1,D2,0,0.2891006842619746,0.318359375,0.77
L1,D2,1,0.39056742815033163,0.322265625,0.72
L1,D2,2,0.359375,0.33984375,0.59
L1,D3,0,0.2500085857217539,0.212646484375,5.04
L1,D3,1,0.30663695881087183,0.263671875,6.13
L1,D3,2,0.32814441780520726,0.26904296875,6.68
L2,D1,0,0.37412587412587417,0.296875,0.26
L2,D1,1,0.37412587412587417,0.28125,0.20
L2,D1,2,0.16783216783216784,0.28125,0.20
L2,D2,0,0.1483382209188661,0.119140625,0.91
L2,D2,1,0.21886514369933677,0.12109375,0.91
L2,D2,2,0.203125,0.1953125,0.92
L2,D3,0,0.009768643417804115,0.1044921875,7.23
L2,D3,1,0.005860179773223251,0.080322265625,6.70
L2,D3,2,0.001957792741636363,0.09765625,7.16
L3,D1,0,0.458041958041958,0.359375,0.66
L3,D1,1,0.2902097902097902,0.265625,0.50
L3,D1,2,0.2902097902097902,0.265625,0.52
L3,D2,0,0.0,0.115234375,1.82
L3,D2,1,0.031441906165561286,0.166015625,1.85
L3,D2,2,0.0,0.15234375,1.84
L3,D3,0,0.0,0.074951171875,13.87
L3,D3,1,0.0,0.1201171875,15.78
L3,D3,2,0.0,0.07275390625,13.75
