capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds,acer_cross_domain,apcer_cross_domain,bpcer_cross_domain,threshold
L1,D1,0,0.3333333333333333,0.3125,1.35,0.3984375,0.03125,0.765625,0.5138092637062073
L1,D1,1,0.4166666666666667,0.328125,0.56,0.3671875,0.09375,0.640625,0.46497973799705505
L1,D1,2,0.5,0.328125,0.57,0.34375,0.171875,0.515625,0.5030615329742432
L1,D2,0,0.484375,0.330078125,3.62,0.388671875,0.02734375,0.75,0.36951136589050293
L1,D2,1,0.5,0.341796875,3.69,0.3818359375,0.099609375,0.6640625,0.4027966856956482
L1,D2,2,0.5,0.357421875,3.51,0.3515625,0.234375,0.46875,0.5042387247085571
L1,D3,0,0.4609375,0.272216796875,28.21,0.347900390625,0.098388671875,0.597412109375,0.34316587448120117
L1,D3,1,0.658203125,0.37255859375,27.85,0.4393310546875,0.025146484375,0.853515625,0.03312743455171585
L1,D3,2,0.5,0.338623046875,28.32,0.371337890625,0.117919921875,0.624755859375,0.38451266288757324
L2,D1,0,0.25,0.28125,0.76,0.375,0.078125,0.671875,0.35618823766708374
L2,D1,1,0.5,0.328125,0.74,0.390625,0.03125,0.75,0.42654305696487427
L2,D1,2,0.5,0.328125,0.83,0.3359375,0.15625,0.515625,0.3109058737754822
L2,D2,0,0.390625,0.271484375,4.05,0.3544921875,0.08984375,0.619140625,0.355756014585495
L2,D2,1,0.671875,0.40234375,3.93,0.4931640625,0.0,0.986328125,0.002451171400025487
L2,D2,2,0.5,0.35546875,3.99,0.376953125,0.146484375,0.607421875,0.35364678502082825
L2,D3,0,0.6484375,0.34326171875,32.14,0.4525146484375,0.02001953125,0.885009765625,2.0874227346645569e-10
L2,D3,1,0.6640625,0.346923828125,32.38,0.5,0.0,1.0,1.5619718553429831e-31
L2,D3,2,0.65234375,0.317626953125,33.53,0.4876708984375,0.003173828125,0.97216796875,6.475401811978365e-13
L3,D1,0,0.25,0.546875,1.71,0.53125,0.234375,0.828125,0.6771752834320068
L3,D1,1,0.5,0.53125,1.71,0.4765625,0.0,0.953125,0.9745780229568481
L3,D1,2,0.5833333333333334,0.671875,1.51,0.5,0.0,1.0,0.0007968342979438603
L3,D2,0,0.4375,0.322265625,7.35,0.431640625,0.0,0.86328125,9.645432874094695e-05
L3,D2,1,0.296875,0.2734375,7.34,0.5,0.0,1.0,0.0
L3,D2,2,0.3125,0.28125,7.46,0.29296875,0.14453125,0.44140625,0.9817760586738586
L3,D3,0,0.416015625,0.287109375,59.59,0.322265625,0.092529296875,0.552001953125,0.10706081241369247
L3,D3,1,0.37890625,0.26904296875,59.55,0.364013671875,0.050537109375,0.677490234375,0.00010538102651480585
L3,D3,2,0.599609375,0.317138671875,60.20,0.3819580078125,0.037841796875,0.72607421875,3.502047380665248e-18
