capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds
L1,D1,0,0.37412587412587417,0.390625,1.00
L1,D1,1,0.16783216783216784,0.421875,0.15
L1,D1,2,0.2517482517482518,0.390625,0.10
L1,D2,0,0.36730205278592376,0.419921875,0.72
L1,D2,1,0.30471628592483424,0.3828125,0.62
L1,D2,2,0.390625,0.373046875,0.69
L1,D3,0,0.2685518367720739,0.3525390625,5.45
L1,D3,1,0.26465044943305815,0.3486328125,5.70
L1,D3,2,0.28125298735464727,0.339599609375,5.83
L2,D1,0,0.37412587412587417,0.375,0.20
L2,D1,1,0.16783216783216784,0.40625,0.17
L2,D1,2,0.37412587412587417,0.453125,0.18
L2,D2,0,0.2578201368523949,0.33203125,0.84
L2,D2,1,0.33615819209039544,0.2890625,0.74
L2,D2,2,0.28125,0.1953125,0.57
L2,D3,0,0.015629829468486584,0.062255859375,5.07
L2,D3,1,0.011720359546446502,0.08740234375,6.47
L2,D3,2,0.012677855146280004,0.13330078125,6.66
L3,D1,0,0.458041958041958,0.4375,0.57
L3,D1,1,0.5419580419580419,0.421875,0.51
L3,D1,2,0.16783216783216784,0.4375,0.49
L3,D2,0,0.0469208211143695,0.11328125,1.85
L3,D2,1,0.015720953082780643,0.11328125,1.81
L3,D2,2,0.03125,0.1484375,1.86
L3,D3,0,0.001953728683560823,0.13818359375,14.68
L3,D3,1,0.001953393257741084,0.079833984375,16.60
L3,D3,2,0.04493363770892364,0.115234375,16.99
