capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds,acer_cross_domain,apcer_cross_domain,bpcer_cross_domain,threshold
L1,D1,0,0.3333333333333333,0.359375,1.43,0.4354440789473684,0.10526315789473684,0.765625,0.5312114953994751
L1,D1,1,0.3333333333333333,0.359375,0.58,0.4013157894736842,0.05263157894736842,0.75,0.5052410364151001
L1,D1,2,0.3333333333333333,0.34375,0.58,0.3885690789473684,0.10526315789473684,0.671875,0.5173444151878357
L1,D2,0,0.25,0.36328125,3.66,0.4602943978658537,0.06707317073170732,0.853515625,0.4372948110103607
L1,D2,1,0.546875,0.34375,3.65,0.48473227896341464,0.018292682926829267,0.951171875,0.3973279893398285
L1,D2,2,0.40625,0.34765625,3.61,0.41103405898876405,0.09550561797752809,0.7265625,0.4428103268146515
L1,D3,0,0.3828125,0.372802734375,29.50,0.4835537254588755,0.0044609665427509295,0.962646484375,0.2846760153770447
L1,D3,1,0.591796875,0.370849609375,29.61,0.49024299172794117,0.004411764705882353,0.97607421875,0.06284132599830627
L1,D3,2,0.41796875,0.330810546875,29.35,0.4261845812035316,0.1033457249070632,0.7490234375,0.27460789680480957
L2,D1,0,0.3333333333333333,0.3125,0.79,0.4901315789473684,0.10526315789473684,0.875,0.4254772663116455
L2,D1,1,0.16666666666666666,0.28125,0.74,0.4432565789473684,0.10526315789473684,0.78125,0.4948902428150177
L2,D1,2,0.3333333333333333,0.34375,0.85,0.3885690789473684,0.10526315789473684,0.671875,0.3641635477542877
L2,D2,0,0.34375,0.29296875,4.25,0.4688452743902439,0.054878048780487805,0.8828125,0.3340863585472107
L2,D2,1,0.46875,0.291015625,4.16,0.43969131097560976,0.012195121951219513,0.8671875,0.32836073637008667
L2,D2,2,0.421875,0.296875,4.18,0.4397389481707317,0.16463414634146342,0.71484375,0.2705686688423157
L2,D3,0,0.337890625,0.200927734375,34.07,0.48800361945283455,0.011895910780669145,0.964111328125,0.01803223229944706
L2,D3,1,0.333984375,0.194580078125,34.81,0.4930419921875,0.0,0.986083984375,0.0004616824153345078
L2,D3,2,0.431640625,0.1875,34.43,0.5,0.0,1.0,2.9915642585365276e-07
L3,D1,0,0.4166666666666667,0.3125,1.66,0.4169407894736842,0.05263157894736842,0.78125,0.14262717962265015
L3,D1,1,0.75,0.359375,1.52,0.4794407894736842,0.05263157894736842,0.90625,0.19482772052288055
L3,D1,2,0.5,0.296875,1.66,0.4609375,0.0,0.921875,0.08525485545396805
L3,D2,0,0.484375,0.314453125,7.41,0.4622237042682927,0.11585365853658537,0.80859375,0.627988874912262
L3,D2,1,0.5,0.2734375,7.35,0.4990234375,0.0,0.998046875,1.1935479051317088e-05
L3,D2,2,0.203125,0.203125,7.39,0.3557545731707317,0.16463414634146342,0.546875,0.6454788446426392
L3,D3,0,0.294921875,0.219970703125,59.89,0.32775216368494425,0.06468401486988848,0.5908203125,0.09742439538240433
L3,D3,1,0.263671875,0.21875,59.22,0.4038465308434015,0.05427509293680297,0.75341796875,0.0023187305778265
L3,D3,2,0.1767578125,0.237060546875,59.96,0.45479414135106877,0.06022304832713755,0.849365234375,0.10881880670785904
