capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds
L1,D1,0,0.37412587412587417,0.7829301075268817,0.92
L1,D1,1,0.16783216783216784,0.581989247311828,0.10
L1,D1,2,0.2517482517482518,0.6720430107526881,0.10
L1,D2,0,0.36730205278592376,0.6189516129032258,0.46
L1,D2,1,0.30471628592483424,0.49193548387096775,0.51
L1,D2,2,0.390625,0.581989247311828,0.44
L1,D3,0,0.2685518367720739,0.581989247311828,3.29
L1,D3,1,0.26465044943305815,0.581989247311828,3.68
L1,D3,2,0.28125298735464727,0.581989247311828,3.29
L2,D1,0,0.37412587412587417,0.6189516129032258,0.14
L2,D1,1,0.16783216783216784,0.581989247311828,0.12
L2,D1,2,0.37412587412587417,0.7829301075268817,0.11
L2,D2,0,0.2578201368523949,0.6720430107526881,0.51
L2,D2,1,0.33615819209039544,0.6189516129032258,0.48
L2,D2,2,0.265625,0.54502688172043,0.51
L2,D3,0,0.015629829468486584,0.5080645161290323,3.79
L2,D3,1,0.007813573030964336,0.709005376344086,4.07
L2,D3,2,0.02246681885446182,0.4549731182795699,4.13
L3,D1,0,0.37412587412587417,0.581989247311828,0.48
L3,D1,1,0.5419580419580419,0.581989247311828,0.47
L3,D1,2,0.2902097902097902,0.49193548387096775,0.45
L3,D2,0,0.0469208211143695,0.5080645161290323,1.52
L3,D2,1,0.11729304839105871,0.709005376344086,1.52
L3,D2,2,0.015625,0.41801075268817206,1.57
L3,D3,0,0.0,0.581989247311828,11.42
L3,D3,1,0.0,0.54502688172043,11.56
L3,D3,2,0.0,0.581989247311828,11.52
