capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds
L1,D1,0,0.2902097902097902,0.40625,1.00
L1,D1,1,0.458041958041958,0.421875,0.96
L1,D1,2,0.2902097902097902,0.359375,0.13
L1,D2,0,0.39051808406647115,0.41015625,1.61
L1,D2,1,0.374846475067551,0.46875,0.72
L1,D2,2,0.28125,0.443359375,0.70
L1,D3,0,0.23437875625326735,0.246826171875,5.97
L1,D3,1,0.23925633708242405,0.234130859375,5.55
L1,D3,2,0.2158103235328982,0.203369140625,5.41
L1,D4,0,0.21142609102140306,0.19390869140625,25.85
L1,D4,1,0.1523427960927961,0.21368408203125,30.24
L1,D4,2,0.14233405049915504,0.18328857421875,24.91
L2,D1,0,0.37412587412587417,0.28125,0.17
L2,D1,1,0.37412587412587417,0.359375,0.15
L2,D1,2,0.37412587412587417,0.421875,0.16
L2,D2,0,0.21089931573802542,0.21484375,0.76
L2,D2,1,0.15598133136821418,0.208984375,0.80
L2,D2,2,0.1875,0.21875,0.79
L2,D3,0,0.18652957494953504,0.25537109375,6.05
L2,D3,1,0.13866802997237782,0.202880859375,6.77
L2,D3,2,0.13573201182323275,0.193359375,6.27
L2,D4,0,0.11035331492108012,0.24346923828125,27.61
L2,D4,1,0.08276480463980464,0.17578125,26.91
L2,D4,2,0.1545411283154614,0.21099853515625,28.05
L3,D1,0,0.2902097902097902,0.390625,0.60
L3,D1,1,0.37412587412587417,0.375,0.55
L3,D1,2,0.2902097902097902,0.34375,0.53
L3,D2,0,0.21089931573802542,0.25,2.09
L3,D2,1,0.1874232375337755,0.22265625,2.02
L3,D2,2,0.203125,0.25390625,2.09
L3,D3,0,0.19239076100021751,0.242431640625,16.39
L3,D3,1,0.22362919102049536,0.257080078125,16.33
L3,D3,2,0.19334350467843636,0.248046875,16.37
L3,D4,0,0.04077193133088154,0.262115478515625,63.23
L3,D4,1,0.035645604395604394,0.259033203125,63.59
L3,D4,2,0.0473634619272687,0.2584228515625,65.52
