capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds
L1,D1,0,0.16783216783216784,0.34375,0.95
L1,D1,1,0.458041958041958,0.40625,0.14
L1,D1,2,0.2902097902097902,0.34375,0.12
L1,D2,0,0.2891006842619746,0.3359375,0.69
L1,D2,1,0.1874232375337755,0.32421875,0.58
L1,D2,2,0.21875,0.27734375,0.64
L1,D3,0,0.09765209129102544,0.178955078125,5.71
L1,D3,1,0.12402902620293925,0.2275390625,6.04
L1,D3,2,0.07616272622639272,0.12841796875,6.49
L2,D1,0,0.2517482517482518,0.296875,0.22
L2,D1,1,0.2902097902097902,0.3125,0.19
L2,D1,2,0.458041958041958,0.375,0.19
L2,D2,0,0.10948191593352884,0.1953125,0.87
L2,D2,1,0.07013018914271678,0.1484375,0.85
L2,D2,2,0.109375,0.16015625,0.82
L2,D3,0,0.0,0.035400390625,6.87
L2,D3,1,0.0,0.043212890625,7.08
L2,D3,2,0.0,0.049560546875,7.20
L3,D1,0,0.2517482517482518,0.34375,0.70
L3,D1,1,0.16783216783216784,0.21875,0.68
L3,D1,2,0.458041958041958,0.3125,0.52
L3,D2,0,0.0,0.01953125,2.13
L3,D2,1,0.0,0.04296875,2.10
L3,D2,2,0.0,0.078125,2.10
L3,D3,0,0.0,0.003662109375,16.47
L3,D3,1,0.0,0.00048828125,15.94
L3,D3,2,0.0,0.0048828125,16.50
