capacity,data_level,seed,eer_in_domain,eer_cross_domain,train_seconds
L1,D1,0,0.2902097902097902,0.171875,1.00
L1,D1,1,0.458041958041958,0.3125,0.19
L1,D1,2,0.37412587412587417,0.234375,0.20
L1,D2,0,0.2421798631476051,0.25390625,0.92
L1,D2,1,0.21886514369933677,0.18359375,0.83
L1,D2,2,0.125,0.28125,0.69
L1,D3,0,0.015629829468486584,0.0,6.94
L1,D3,1,0.011720359546446502,0.0,6.17
L1,D3,2,0.007831170966545451,0.0,7.51
L2,D1,0,0.2902097902097902,0.15625,0.23
L2,D1,1,0.16783216783216784,0.0625,0.21
L2,D1,2,0.08391608391608392,0.171875,0.21
L2,D2,0,0.0,0.0,0.99
L2,D2,1,0.0,0.0,0.98
L2,D2,2,0.0,0.0,1.04
L2,D3,0,0.0,0.0,8.16
L2,D3,1,0.0,0.0,7.83
L2,D3,2,0.0,0.0,7.19
L3,D1,0,0.0,0.03125,0.62
L3,D1,1,0.16783216783216784,0.296875,0.54
L3,D1,2,0.08391608391608392,0.03125,0.51
L3,D2,0,0.0,0.0,2.13
L3,D2,1,0.0,0.0,2.16
L3,D2,2,0.0,0.0,2.13
L3,D3,0,0.0,0.0,16.60
L3,D3,1,0.0,0.0,16.72
L3,D3,2,0.0,0.0,16.62
